Drug_A,Drug_B,Level
Esmolol,Iopanoic acid,Moderate
Ibritumomab tiuxetan,Paroxetine,Moderate
Cidofovir,Magnesium glycinate,No Interaction
Amoxicillin,Phenacemide,No Interaction
Donepezil,Deferasirox,Moderate
Calcifediol,Sevelamer,Moderate
Alemtuzumab,Lomefloxacin,No Interaction
Haloperidol,Macimorelin,Major
Timolol (ophthalmic),Iopamidol,Moderate
Dicyclomine,Physostigmine (ophthalmic),Moderate
Lidocaine,Prednisolone,Unknown
Milrinone,Amifostine,Moderate
Brigatinib,Insulin human (zinc extended),No Interaction
Ibuprofen,Iopamidol,Major
Spironolactone,Streptozocin,No Interaction
Folic acid,Clobetasol,Unknown
Esterified estrogens,Insulin human (regular),No Interaction
Muromonab,Oliceridine,No Interaction
Hydroflumethiazide,Iothalamic acid,Moderate
Salsalate,Iopamidol,Major
Flunisolide (nasal),Cobicistat,Moderate
Fomepizole,Valsartan,No Interaction
Cholestyramine,Tranylcypromine,No Interaction
Cerivastatin,Sacubitril,No Interaction
Prochlorperazine,Amyl Nitrite,Moderate
Diazoxide,Oliceridine,Moderate
Insulin human (zinc),Trazodone,No Interaction
Busulfan,Proparacaine (ophthalmic),No Interaction
Bupivacaine,Mannitol,Unknown
Ioxilan,Ivabradine,No Interaction
Carbamazepine,Deferiprone,Major
Benzylpenicillin,Torasemide,No Interaction
Clevidipine,Nitrous acid,Moderate
Alefacept,Arsenic trioxide,No Interaction
Prednisolone,Meclofenamic acid,Moderate
Iohexol,Oliceridine,Major
Folic acid,Nateglinide,Unknown
Apraclonidine,Eluxadoline,No Interaction
Timolol (ophthalmic),Iopodic acid,Moderate
Folic acid,Fluticasone,Unknown
Glyburide,Promethazine,Moderate
Amphotericin B (lipid complex),Reserpine,No Interaction
Diiodohydroxyquinoline,Iodide I-131,Moderate
Saxagliptin,Vitamin D,No Interaction
Bleomycin,Oxygen,Major
Dacarbazine,Samarium (153Sm) lexidronam,Major
Demeclocycline,Primidone,No Interaction
Olsalazine,Ioversol,Major
Ephedrine (nasal),Pralidoxime,No Interaction
Olsalazine,Iopromide,Major
Clonazepam,Miglitol,No Interaction
Diatrizoate,Indomethacin,Major
Trimethoprim,Potassium Iodide,Major
Calcium chloride,Memantine,No Interaction
Duvelisib,Trimethobenzamide,No Interaction
Belantamab mafodotin,Tiotropium,No Interaction
Interferon alfa-2b,Morphine (liposomal),No Interaction
Ramucirumab,Tropicamide,No Interaction
Darolutamide,Mestranol,No Interaction
Palifermin,Olaparib,Moderate
Deferiprone,Mogamulizumab,Major
Azathioprine,Cefditoren,No Interaction
Sertraline,Iobenguane (I-123),Moderate
Methysergide,Opicapone,No Interaction
Chlorphenesin,Promethazine,Moderate
Human botulinum neurotoxin A/B immune globulin,Interferon beta-1b,No Interaction
Calcitriol,Sevelamer,Moderate
Droperidol,Promethazine,Major
Dicyclomine,Eravacycline,No Interaction
Eluxadoline,Insulin degludec,No Interaction
Nalidixic acid,Pentostatin,No Interaction
Mitotane,Macimorelin,Moderate
Sevelamer,Donepezil,Unknown
Dexrazoxane,Dimethyl fumarate,Moderate
Bromfenac,Iohexol,Major
Folic acid,Etidronic acid,Unknown
Penicillamine,Lanthanum carbonate,Moderate
Folic acid,Valaciclovir,Unknown
Isosorbide,Oseltamivir,No Interaction
Phentolamine,Tranylcypromine,Moderate
Capromab pendetide,Histrelin,Moderate
Pindolol,Iothalamic acid,Moderate
Omeprazole,Sevelamer,Unknown
Prednisolone (ophthalmic),Troleandomycin,Moderate
Cariprazine,Sodium iodide,No Interaction
Physostigmine,Clomipramine,Moderate
Oliceridine,Triamterene,No Interaction
Thioridazine,Ethanol,Moderate
Budesonide,Dexbrompheniramine,No Interaction
Tolbutamide,Fluticasone (topical),Minor
Liotrix,Sodium sulfate,No Interaction
Aflibercept,Sumatriptan,No Interaction
Calcipotriol (topical),Enoxacin,No Interaction
Deferoxamine,Insulin human (isophane),No Interaction
Abametapir (topical),Phenoxymethylpenicillin,No Interaction
Bexarotene,Sotalol,No Interaction
Dicyclomine,Gadoversetamide,No Interaction
Lamivudine,Propofol,No Interaction
Apixaban,Hydromorphone,No Interaction
Zoledronic acid,Iobenguane (I-131),Moderate
Piperazine,Iohexol,Major
"Insulin human (inhalation, rapid acting)",Prednisolone,Moderate
Diatrizoate,Amikacin (liposome),Major
Cyclosporine,Leuprolide,No Interaction
Ethanol,Insulin glulisine,Moderate
Pravastatin,Promethazine,Unknown
Meloxicam,Galactose,Unknown
Lactobacillus acidophilus,Tasimelteon,No Interaction
Levetiracetam,Telavancin,No Interaction
Folic acid,Erlotinib,Unknown
Hydrocortisone,Deferasirox,Major
Captopril,Lacosamide,No Interaction
Acitretin,Latanoprost,No Interaction
Imipramine,Promethazine,Moderate
Cyclobenzaprine,Iohexol,Major
Ganciclovir,Ledipasvir,No Interaction
Pentostatin,Tetracosactide,No Interaction
Ethanol,Trabectedin,Moderate
Fentanyl,Acetylcysteine,Unknown
Prednisolone,Hyaluronidase,Minor
Ropivacaine,Sulfadiazine,No Interaction
Indomethacin,Iodixanol,Major
Oxycodone,Acetylcysteine,Unknown
Ibutilide,Magnesium hydroxide,No Interaction
Ivermectin,Rabeprazole,No Interaction
Insulin human (zinc extended),Phentolamine,Minor
Bromocriptine,Diphenhydramine,No Interaction
Gadofosveset trisodium,"Smallpox (Vaccinia) Vaccine, Live",No Interaction
Buspirone,Phenacemide,No Interaction
Almotriptan,Umeclidinium,No Interaction
Homatropine,Levamisole,No Interaction
Linaclotide,Liothyronine,No Interaction
Cobicistat,Revefenacin,Moderate
Guanabenz,Levobetaxolol (ophthalmic),No Interaction
Bimatoprost,Darolutamide,No Interaction
Rivastigmine,Iohexol,Major
Gadoversetamide,Labetalol,Moderate
Ciprofloxacin,Iopamidol,Major
Metipranolol (ophthalmic),Iopamidol,Moderate
Certolizumab pegol,Tinzaparin,No Interaction
Fluorometholone (ophthalmic),Terbinafine,No Interaction
Doxorubicin (liposomal),Zopiclone,No Interaction
Tisagenlecleucel,Vigabatrin,No Interaction
Nicardipine,Cobicistat,Moderate
Iodipamide,Levamlodipine,Moderate
Phenytoin,Pimavanserin,No Interaction
Physostigmine (ophthalmic),Brigatinib,Moderate
Metolazone,Iopamidol,Moderate
Oxymetazoline (nasal),Verteporfin,No Interaction
Methotrexate,Levoleucovorin,Moderate
Citalopram,Gadodiamide,Unknown
Dexmethylphenidate,Methysergide,No Interaction
Belinostat,Fludarabine,No Interaction
Ramipril,Tolbutamide,Moderate
Azelastine,Dicloxacillin,No Interaction
Enfortumab vedotin,Lisdexamfetamine,No Interaction
Ifosfamide,Secretin human,No Interaction
Bepridil,Ferrous fumarate,No Interaction
Rasburicase,Nitrous acid,Major
Esterified estrogens,Olmesartan,No Interaction
Trihexyphenidyl,Prednisolone,Unknown
Cilostazol,Iron protein succinylate,No Interaction
Furosemide,Iodipamide,Moderate
Arsenic trioxide,Pseudoephedrine,No Interaction
Atropine (ophthalmic),Estrone sulfate (topical),No Interaction
Aripiprazole,Ixazomib,No Interaction
Abemaciclib,Acarbose,No Interaction
Dacarbazine,Nitroprusside,No Interaction
Metoprolol,Sevelamer,Unknown
Dalteparin,Foscarnet,No Interaction
Tositumomab,Meclofenamic acid,Major
Leucovorin,Risedronic acid,Unknown
Acarbose,Simvastatin,No Interaction
Diclofenac,Ioxilan,Major
Tositumomab,Fenfluramine,Moderate
Ibritumomab tiuxetan,Rilonacept,Moderate
Desmopressin,Dofetilide,No Interaction
Pazopanib,Valrubicin,No Interaction
Daunorubicin,Dimethyl fumarate,No Interaction
Chlormezanone,Phenacemide,No Interaction
Mephenytoin,Nilutamide,No Interaction
Cloxacillin,Metformin,No Interaction
Axicabtagene ciloleucel,Cefmetazole,No Interaction
Folic acid,Fexofenadine,Unknown
Oseltamivir,Promethazine,Unknown
Mannitol,Digitoxin,Moderate
Benznidazole,Methyldopa,No Interaction
Sulfinpyrazone,Deferasirox,Major
Tacrolimus,Lanthanum carbonate,Moderate
Gemcitabine,Sipuleucel-T,No Interaction
Prednisolone,Atezolizumab,Moderate
Brimonidine (topical),Tocainide,No Interaction
Rimantadine,Iopamidol,Major
Deferiprone,Liotrix,No Interaction
Attapulgite,Penbutolol,No Interaction
Esmolol,Amifostine,Moderate
Dimercaprol,Iron sucrose,Major
Dexamethasone (nasal),Ramipril,No Interaction
Gadodiamide,Fenofibrate,Unknown
Galantamine,Tamoxifen,No Interaction
Prednisolone (ophthalmic),Darunavir,Moderate
Piperacillin,Flumazenil,Unknown
Chloramphenicol,Neostigmine,No Interaction
Methoxyflurane,Tetryzoline (nasal),No Interaction
Dapsone,Fludarabine,No Interaction
Physostigmine (ophthalmic),Oxybutynin,Moderate
Belladonna,Oxytetracycline,No Interaction
Folic acid,Vincristine,Unknown
Ketoconazole,Peginterferon alfa-2a,No Interaction
Nelarabine,Oxymetazoline (topical),No Interaction
Bromocriptine,Insulin human,No Interaction
Amphotericin B,Propafenone,No Interaction
Paliperidone,Testosterone,No Interaction
Brompheniramine,Histamine,Moderate
Obinutuzumab,Ozanimod,No Interaction
Diazoxide,Aripiprazole,Moderate
Gefitinib,Acetylcysteine,Unknown
Trabectedin,Cobicistat,Major
Nalidixic acid,Trandolapril,No Interaction
Prednisone,Edrophonium,Moderate
Duloxetine,Ioflupane I-123,Moderate
Magnesium carbonate,Warfarin,No Interaction
Trifluridine,Samarium (153Sm) lexidronam,Major
Dronabinol,Diazoxide,Moderate
Gadodiamide,Montelukast,Unknown
Iobenguane (I-131),Irinotecan (liposomal),No Interaction
Folic acid,Trimethoprim,Moderate
Almotriptan,Bimatoprost,No Interaction
Calcipotriol (topical),Solriamfetol,No Interaction
Sermorelin,Insulin human (zinc),Moderate
Brentuximab vedotin,Ursodeoxycholic acid,No Interaction
Irbesartan,Riluzole,No Interaction
Macitentan,Cobicistat,Major
Auranofin,Tisagenlecleucel,No Interaction
Azelastine,Chromic chloride,No Interaction
Ezogabine,Macimorelin,Major
Droperidol,Macimorelin,Major
Acetohexamide,Plicamycin,No Interaction
Rocuronium,Flumazenil,Unknown
Phendimetrazine,Rotigotine,No Interaction
Calcium acetate,Norfloxacin,Moderate
Prednisolone,Tetrabenazine,No Interaction
Folic acid,Timolol,Unknown
Cinacalcet,Zanubrutinib,No Interaction
Fentanyl,Pfizer-BioNTech Covid-19 Vaccine,No Interaction
Ethanol,Canagliflozin,Moderate
Drotrecogin alfa,Magnesium chloride,No Interaction
Desoximetasone (topical),Teprotumumab,No Interaction
Dantrolene,Tetryzoline (nasal),No Interaction
Ceftriaxone,Isoxsuprine,No Interaction
Ethanol,Ziconotide,Moderate
Ixazomib,Lasmiditan,No Interaction
Oxcarbazepine,Cobicistat,Moderate
Sirolimus,Iohexol,Major
Carvedilol,Iopamidol,Moderate
Aminolevulinic acid (topical),Tolbutamide,Moderate
Armodafinil,Macimorelin,Moderate
Carvedilol,Ioxilan,Moderate
Mefenamic acid,Iothalamic acid,Major
Labetalol,Gadofosveset trisodium,Moderate
Timolol,Promethazine,Moderate
Sumatriptan,Prednisolone,Unknown
Prednisolone,Bupropion,Major
Ferrous fumarate,Valganciclovir,No Interaction
Benzthiazide,Ofatumumab,No Interaction
Doxacurium,Ticarcillin,No Interaction
Chlorpropamide,Magnesium carbonate,Moderate
Brexanolone,Cyproheptadine,No Interaction
Dalfopristin,Thiotepa,No Interaction
Anakinra,Tolbutamide,No Interaction
Amlodipine,Leucovorin,Unknown
Pilocarpine (ophthalmic),Troglitazone,No Interaction
Ferrous fumarate,Iobenguane (I-123),No Interaction
Capromab pendetide,Coccidioides immitis spherule,No Interaction
Pembrolizumab,Ramelteon,No Interaction
Hydrocortisone,Ipecac,No Interaction
Drospirenone,Terazosin,No Interaction
Nitroglycerin,Ioversol,Unknown
Ibritumomab tiuxetan,Yellow Fever Vaccine,Major
Ifosfamide,Iodixanol,Major
Acalabrutinib,Turmeric,No Interaction
Influenza A virus A/Vietnam/1194/2004 (H5N1) antigen (formaldehyde inactivated),Nitrazepam,No Interaction
Cinoxacin,Kanamycin,No Interaction
Lapatinib,Lesinurad,No Interaction
Trifluoperazine,Physostigmine,Moderate
Prochlorperazine,Tolbutamide,Moderate
Levothyroxine,Deferoxamine,Unknown
Ketamine,Methylene blue,Moderate
Ethanol,Deserpidine,Moderate
Albendazole,Deferasirox,Moderate
Amphotericin B (lipid complex),Enzalutamide,No Interaction
Ethanol,Tetrabenazine,Moderate
Lisdexamfetamine,Iobenguane (I-123),Moderate
Diltiazem,Gadoteric acid,Moderate
Lactulose,Promethazine,Unknown
Nepafenac (ophthalmic),Roflumilast,No Interaction
Meloxicam,Niacin,No Interaction
Bismuth subsalicylate,Erdafitinib,No Interaction
Iopanoic acid,Prilocaine,No Interaction
Ketoprofen,Iothalamic acid,Major
Duloxetine,Selpercatinib,No Interaction
Calcium acetate,Alendronic acid,Moderate
Inulin,Phenyltoloxamine,No Interaction
Crizotinib,Ranitidine,No Interaction
Bisoprolol,Iopromide,Moderate
Acebutolol,Iopamidol,Moderate
Flucytosine,Pitavastatin,No Interaction
Methylergometrine,Sulfadiazine,No Interaction
Bifidobacterium longum infantis,Levorphanol,No Interaction
Droxidopa,Ticarcillin,No Interaction
Benzphetamine,Tolbutamide,Moderate
Phenylbutazone,Iopamidol,Major
Ribavirin,Tropicamide,No Interaction
Eplerenone,Nitrous acid,Moderate
Alfentanil,Mivacurium,No Interaction
Warfarin,Prednisolone,Moderate
Insulin lispro (protamine),Norgestrel,No Interaction
Deferasirox,Edoxaban,Major
Acebutolol,Ioxilan,Moderate
Nizatidine,Rifampicin,No Interaction
Metolazone,Acetylcysteine,Unknown
Bosutinib,Macimorelin,Major
Gallium nitrate,Pimecrolimus (topical),No Interaction
Methylergometrine,Secretin human,No Interaction
Tolbutamide,Fluoxymesterone,Moderate
Clarithromycin,Ferric carboxymaltose,No Interaction
Naproxen,Ethanol,Moderate
Mitotane,Trimethaphan,No Interaction
Glucarpidase,Halazepam,No Interaction
Fluocinonide,Hydromorphone,No Interaction
Tolbutamide,Tetracosactide,Moderate
Chlorzoxazone,Satralizumab,No Interaction
Didanosine,Tolevamer,Moderate
Spironolactone,Acetylcysteine,Unknown
Iobenguane (I-131),Strontium chloride Sr-89,Moderate
Aprepitant,Deferasirox,Moderate
Cycloserine,Phenylpropanolamine,No Interaction
Prednisolone,Auranofin,Unknown
Clarithromycin,Phenelzine,No Interaction
Anakinra,Minoxidil,No Interaction
Palifermin,Ixabepilone,Moderate
Sevelamer,"Thyroid, porcine",Moderate
Iobenguane (I-131),Levmetamfetamine (nasal),No Interaction
Naproxen,Iothalamic acid,Major
Fludeoxyglucose (18F),Plantago seed,Moderate
Oxaliplatin,Iobenguane (I-131),Moderate
Epirubicin,Oxygen,No Interaction
Epinephrine (topical),Tetracaine (topical),No Interaction
Lurasidone,Tiotropium,No Interaction
Bosutinib,Ferumoxsil,No Interaction
Apalutamide,Pentosan polysulfate,No Interaction
Calcitriol,Tagraxofusp,No Interaction
Anagrelide,Microcrystalline cellulose,No Interaction
Gadoteric acid,Lansoprazole,No Interaction
Meloxicam,Iohexol,Major
Auranofin,Measles virus vaccine live attenuated,No Interaction
Magnesium carbonate,Baloxavir marboxil,Moderate
Insulin human (zinc),Tolbutamide,Moderate
Interferon beta-1a,Iopromide,No Interaction
Glyburide,Acetylcysteine,Unknown
Copper gluconate,Methocarbamol,No Interaction
Dimenhydrinate,Pimecrolimus (topical),No Interaction
Bacitracin,Tetracaine (ophthalmic),No Interaction
Minoxidil,Valerian,No Interaction
Ivacaftor,Pitolisant,No Interaction
Delafloxacin,Sunitinib,No Interaction
Halazepam,Hydrocortisone (topical),No Interaction
Iron sucrose,Rituximab,No Interaction
Carfilzomib,Pindolol,No Interaction
Galactose,Nicardipine,No Interaction
Epinephrine (topical),Insulin human,No Interaction
Acyclovir,Pramipexole,No Interaction
Cannabidiol,Mycophenolate mofetil,No Interaction
Idelalisib,Cobicistat,Moderate
Samarium (153Sm) lexidronam,Venetoclax,Major
Fentanyl,Galactose,Unknown
Sulfasalazine,Acetylcysteine,Unknown
Isavuconazonium,Tetrofosmin,No Interaction
Promethazine,Lapatinib,Moderate
Penicillamine,Pitolisant,No Interaction
Ceftriaxone,Mepyramine,No Interaction
Amoxicillin,Iodide I-131,Moderate
Olanzapine,Quinapril,No Interaction
Vitamin A,Heparin,Unknown
Diatrizoate,Sulfasalazine,Major
Ethanol,Thiothixene,Moderate
Levodopa,Tetracycline,No Interaction
Calcium chloride,Tetraferric tricitrate decahydrate,No Interaction
Hydroxyurea,Norepinephrine,No Interaction
Trimipramine,Iohexol,Major
Iothalamic acid,Iodide I-123,Moderate
Clobazam,Lipoic acid,No Interaction
Diltiazem,Iopanoic acid,Moderate
Tafasitamab,Voxilaprevir,No Interaction
Deutetrabenazine,Diroximel fumarate,No Interaction
Bupivacaine,Patiromer,No Interaction
Cabozantinib,Inotuzumab ozogamicin,No Interaction
Chlordiazepoxide,Phentolamine,Moderate
Cholestyramine,Dactinomycin,No Interaction
Tetryzoline (ophthalmic),Tubocurarine,No Interaction
Duloxetine,Tofacitinib,No Interaction
Tositumomab (I-131),Vibrio cholerae CVD 103-HgR strain live antigen,Moderate
Olanzapine,Ioflupane I-123,Moderate
Caffeine,Gemifloxacin,No Interaction
Alprazolam,Amphotericin B (cholesteryl sulfate),No Interaction
Prednisolone,Berotralstat,Moderate
Metronidazole,Iopromide,Unknown
Botulinum Toxin Type B,Clofarabine,No Interaction
Pfizer-BioNTech Covid-19 Vaccine,Teprotumumab,No Interaction
Methenamine,Phenylephrine (ophthalmic),No Interaction
Naproxen,Tolbutamide,Moderate
Loxapine,Ioflupane I-123,Moderate
Vinorelbine,Promethazine,Unknown
Folic acid,Imatinib,Unknown
Loratadine,Vorinostat,No Interaction
Physostigmine (ophthalmic),Procainamide,Moderate
Cefpodoxime,Mupirocin,No Interaction
Prednisolone (ophthalmic),Fosamprenavir,Moderate
Muromonab,Ocrelizumab,No Interaction
Ergotamine,Tolazoline,No Interaction
Enfuvirtide,Lactobacillus acidophilus,No Interaction
Nicotinamide,Thyrotropin alfa,No Interaction
Prednisolone,Quazepam,Unknown
Muromonab,Oxytocin,No Interaction
Dipivefrin (ophthalmic),Sulfadiazine,No Interaction
Lisocabtagene maraleucel,Metyrosine,No Interaction
Doxazosin,Plantago seed,No Interaction
Fluticasone (topical),Propylhexedrine (nasal),No Interaction
Lorazepam,Sevelamer,Unknown
Acyclovir,Iodipamide,Major
Urea,Iothalamic acid,Moderate
Colestipol,Gallium chloride Ga-67,No Interaction
Primidone,Levoleucovorin,Moderate
Aminosalicylic acid,Bacillus calmette-guerin substrain tice live antigen,No Interaction
Binimetinib,Vorinostat,No Interaction
Amprenavir,Polyethylene glycol (3350 with electrolytes),No Interaction
Progesterone,Tolbutamide,Moderate
Lorazepam,Promethazine,Moderate
Fluticasone (nasal),Tromethamine,No Interaction
Phenylpropanolamine,Ethanol,Moderate
Tolevamer,Iron,Moderate
Attapulgite,Methyltestosterone,No Interaction
Diazoxide,Procarbazine,Moderate
Prednisone,Acetylcysteine,Unknown
Promethazine,Cefprozil,Unknown
Prednisolone (ophthalmic),Itraconazole,Moderate
Tesamorelin,Macimorelin,Moderate
Ketorolac (ophthalmic),Salbutamol,No Interaction
Doxepin (topical),Fosnetupitant,No Interaction
Promethazine,Macimorelin,Major
Iodide I-123,Mineral oil,No Interaction
Fluvoxamine,Ethanol,Moderate
Infliximab,Pitavastatin,No Interaction
Iothalamic acid,Levobetaxolol (ophthalmic),Moderate
Imatinib,Deferiprone,Major
Cefadroxil,Iodixanol,No Interaction
Amlodipine,Gadoversetamide,Unknown
Estramustine,Guanidine,No Interaction
Torasemide,Iodixanol,Moderate
Alfuzosin,Guanidine,No Interaction
Nisoldipine,Iothalamic acid,Moderate
Diflunisal,Ioxilan,Major
Piperazine,Travoprost,No Interaction
Magnesium carbonate,Omadacycline,Moderate
Ticlopidine,Magnesium carbonate,Minor
Prednisolone,Amantadine,Unknown
Tolevamer,Calcium Phosphate,Moderate
Megestrol acetate,Propofol,No Interaction
Potassium Iodide,Lithium carbonate,Moderate
Maprotiline,Iohexol,Major
Prochlorperazine,Galactose,Unknown
Flutamide,Deferasirox,Moderate
Iohexol,Moxetumomab Pasudotox,Major
Glycerol phenylbutyrate,Oxaprozin,No Interaction
Ibritumomab tiuxetan,Escitalopram,Moderate
Leucovorin,Mitoxantrone,Unknown
Diazoxide,Rasagiline,Moderate
Gabapentin,Phenylpropanolamine,No Interaction
Desirudin,Solifenacin,No Interaction
Flurandrenolide (topical),Tolbutamide,Minor
Defibrotide,Metaxalone,No Interaction
Flurbiprofen,Human botulinum neurotoxin A/B immune globulin,No Interaction
Granisetron,Insulin human (zinc extended),No Interaction
Abciximab,Tositumomab (I-131),Major
Clozapine,Iopamidol,Major
Demeclocycline,Esterified estrogens,No Interaction
Alefacept,Potassium Iodide,No Interaction
Loxapine,Iobenguane (I-123),Moderate
Polymyxin B,Rasagiline,No Interaction
Deferoxamine,Rubella virus vaccine,No Interaction
Anistreplase,Insulin detemir,No Interaction
Allopurinol,Ertugliflozin,No Interaction
Tolbutamide,Liotrix,Moderate
Dihydrocodeine,Indium In-111 pentetate,No Interaction
Calcium glycerophosphate,Valdecoxib,No Interaction
